,co2,longitude,latitude,time
242,391.6455,80.213234,19.460207,2009-04-21 07:44:35.941295
243,390.61493,79.897606,18.102846,2009-04-21 07:44:49.319054
244,392.45648,78.43015,18.43603,2009-04-21 07:44:53.779461
245,388.78687,75.19454,17.565136,2009-04-21 07:45:07.157260
246,385.50134,78.12676,17.07927,2009-04-21 07:45:16.075377
247,390.09674,74.89465,16.23293,2009-04-21 07:45:47.293071
248,379.93387,54.843117,-66.62448,2009-04-21 08:08:22.963730
249,385.1837,53.69379,-67.93113,2009-04-21 08:08:36.340564
250,384.9641,50.08796,-67.372856,2009-04-21 08:08:40.800246
251,371.13782,106.37933,76.00021,2009-04-21 09:05:50.174765
252,392.7207,81.73787,72.63498,2009-04-21 09:07:50.580790
253,391.13666,85.76826,71.87196,2009-04-21 09:07:55.039467
254,368.77048,89.38919,70.996376,2009-04-21 09:07:59.499953
255,394.88168,70.95952,72.48729,2009-04-21 09:08:21.796312
256,369.73236,76.16374,68.94959,2009-04-21 09:08:57.471717
257,397.1263,68.38003,69.89357,2009-04-21 09:09:06.390759
258,388.8399,67.337944,68.56983,2009-04-21 09:09:10.851085
259,397.03897,71.08163,68.19656,2009-04-21 09:09:15.309922
260,389.57855,69.059616,52.422997,2009-04-21 09:13:16.121491
261,389.13278,68.2926,51.117355,2009-04-21 09:13:56.257182
262,388.8852,67.630775,49.807747,2009-04-21 09:14:00.715375
263,382.4749,60.622353,49.728928,2009-04-21 09:14:27.472663
264,388.3654,62.77834,49.39927,2009-04-21 09:14:31.933069
265,388.29324,66.937515,48.495735,2009-04-21 09:14:40.851066
266,388.24637,66.338524,47.177925,2009-04-21 09:14:45.310868
267,392.694,63.74793,46.334064,2009-04-21 09:15:20.986676
268,390.94522,65.70673,45.861,2009-04-21 09:15:25.446680
269,390.3825,65.15988,44.53603,2009-04-21 09:15:29.904793
270,390.19357,63.219612,45.007793,2009-04-21 09:15:34.364676
271,391.04834,60.784615,44.05897,2009-04-21 09:16:01.122044
272,391.72507,64.578415,43.21374,2009-04-21 09:16:10.041167
273,390.2262,59.893944,41.378918,2009-04-21 09:16:45.716975
274,391.2325,63.536934,40.55679,2009-04-21 09:16:54.636097
275,388.96133,63.070766,39.220367,2009-04-21 09:16:59.094774
276,393.5481,61.27873,39.667225,2009-04-21 09:17:03.554134
277,384.85474,57.259666,38.991344,2009-04-21 09:17:25.851579
278,388.37732,59.058823,38.69297,2009-04-21 09:17:30.311502
279,391.3813,60.82947,38.324444,2009-04-21 09:17:34.770661
280,385.9535,56.890472,37.646366,2009-04-21 09:17:57.067744
281,388.4148,55.096443,37.879757,2009-04-21 09:18:01.526944
282,393.44095,56.534664,36.295013,2009-04-21 09:18:10.446066
283,385.66248,59.57867,34.30048,2009-04-21 09:18:32.744557
284,387.76404,57.891464,34.656086,2009-04-21 09:18:37.203354
285,387.26807,54.45017,35.181454,2009-04-21 09:18:46.121471
286,389.01752,54.158943,33.8095,2009-04-21 09:18:50.581757
287,384.06757,46.63888,-15.507157,2009-04-21 09:32:22.204955
288,383.9689,48.097656,-15.822355,2009-04-21 09:32:26.664154
289,384.5887,49.293797,-17.552263,2009-04-21 09:32:35.582271
290,382.62317,47.810547,-17.186121,2009-04-21 09:32:40.043160
291,381.95493,46.339027,-16.862522,2009-04-21 09:32:44.501354
292,377.3097,44.864716,-16.571201,2009-04-21 09:32:48.961679
293,377.34412,44.551388,-17.93329,2009-04-21 09:33:02.339559
294,381.24313,46.036392,-18.217306,2009-04-21 09:33:06.799925
295,382.1153,47.51882,-18.530481,2009-04-21 09:33:11.258682
296,383.53226,48.999283,-18.872856,2009-04-21 09:33:15.718967
297,382.15356,46.63286,-22.606245,2009-04-21 09:34:09.232618
298,380.31204,44.79057,-23.62838,2009-04-21 09:34:35.989383
299,399.3585,55.111614,71.42222,2009-04-21 10:46:23.768150
300,388.62427,52.087616,65.85662,2009-04-21 10:47:48.497322
301,399.01096,45.387657,66.93204,2009-04-21 10:47:57.415278
302,386.4388,44.303024,65.607925,2009-04-21 10:48:10.793801
303,372.9522,50.70065,64.5711,2009-04-21 10:48:19.712884
304,393.28156,53.63856,63.894184,2009-04-21 10:48:24.171560
305,389.51553,45.440605,62.56554,2009-04-21 10:48:59.847448
306,373.6721,43.6123,59.962975,2009-04-21 10:49:44.441976
307,392.52673,37.3472,59.339405,2009-04-21 10:50:15.658584
308,380.16382,36.805717,57.98886,2009-04-21 10:50:20.117381
309,383.5107,44.529804,56.868935,2009-04-21 10:50:33.495783
310,391.3265,39.368324,52.057117,2009-04-21 10:51:58.224875
311,387.87994,33.90458,49.967495,2009-04-21 10:52:33.899677
312,389.23724,33.459988,48.64427,2009-04-21 10:53:14.035971
313,390.36993,40.614754,44.53444,2009-04-21 10:53:40.791770
314,388.1361,38.67503,45.00698,2009-04-21 10:53:45.250487
315,391.80316,37.188503,41.00064,2009-04-21 10:55:01.061622
316,389.42325,37.588886,36.54951,2009-04-21 10:55:54.574669
317,387.31067,35.8582,36.98549,2009-04-21 10:55:59.033386
318,392.65732,27.557508,10.288977,2009-04-21 11:03:29.436374
319,393.48376,28.678398,8.610957,2009-04-21 11:03:56.192697
320,391.45822,30.07828,8.247078,2009-04-21 11:04:00.651856
321,387.63684,29.800182,6.8700857,2009-04-21 11:04:05.111779
322,389.2315,28.388514,7.2486444,2009-04-21 11:04:09.569933
323,388.9773,23.8752,6.7064395,2009-04-21 11:04:27.408178
324,389.75793,25.281666,6.4878554,2009-04-21 11:04:31.868585
325,385.56693,26.693491,6.215575,2009-04-21 11:04:36.327261
326,387.67734,28.095617,5.896274,2009-04-21 11:04:40.786581
327,386.72873,29.489182,5.537468,2009-04-21 11:04:45.245378
328,384.57098,29.21632,4.1591034,2009-04-21 11:04:49.705663
329,388.21808,27.80981,4.5339785,2009-04-21 11:04:54.164460
330,383.6475,26.40768,4.857133,2009-04-21 11:04:58.624746
331,388.609,24.997187,5.1358304,2009-04-21 11:05:03.083543
332,388.22946,23.576265,5.373221,2009-04-21 11:05:07.543909
333,383.50415,28.91018,2.8247883,2009-04-21 11:05:29.840268
334,387.54294,23.0146,2.6590834,2009-04-21 11:05:52.138356
335,384.69177,28.074743,-1.2711549,2009-04-21 11:06:18.894156
336,381.88223,22.181395,-1.435391,2009-04-21 11:06:41.191078
337,383.08655,26.384733,-2.2505798,2009-04-21 11:06:54.569480
338,387.92377,27.77728,-2.6006691,2009-04-21 11:06:59.028277
339,378.24066,26.104744,-3.6152205,2009-04-21 11:07:07.946756
340,376.31085,25.540749,-6.3316627,2009-04-21 11:07:52.541284
341,382.38504,25.257185,-7.680793,2009-04-21 11:08:23.757973
342,383.0277,26.66509,-8.02749,2009-04-21 11:08:28.216689
343,380.59537,26.405209,-9.414753,2009-04-21 11:08:32.677055
344,382.28635,24.976944,-9.045608,2009-04-21 11:08:37.135772
345,374.95264,25.301428,-14.841785,2009-04-21 11:10:01.865427
346,381.79968,20.935589,-13.863762,2009-04-21 11:10:15.243266
347,380.18277,20.630106,-15.225568,2009-04-21 11:10:28.621749
348,379.473,21.792793,-16.86344,2009-04-21 11:10:55.379037
349,381.76285,20.318995,-16.570301,2009-04-21 11:10:59.837190
350,381.44922,18.838272,-16.308329,2009-04-21 11:11:04.298160
351,381.03726,18.531748,-17.683552,2009-04-21 11:11:08.756313
352,384.91644,20.568018,-22.25082,2009-04-21 11:12:24.567449
353,384.62344,19.041306,-21.952887,2009-04-21 11:12:29.026165
354,383.34866,17.509718,-21.679657,2009-04-21 11:12:33.485566
355,382.87088,17.173355,-23.078152,2009-04-21 11:12:37.944765
356,383.8175,18.702003,-23.338696,2009-04-21 11:12:42.404689
357,383.99957,20.244066,-23.62932,2009-04-21 11:12:46.863888
358,386.83585,21.784641,-23.946905,2009-04-21 11:12:51.323771
359,384.49127,23.326004,-24.286787,2009-04-21 11:12:55.782971
360,380.93268,23.055376,-25.678123,2009-04-21 11:13:00.242854
361,384.5188,21.4802,-25.313105,2009-04-21 11:13:04.701007
362,382.9565,19.921427,-24.982367,2009-04-21 11:13:09.160931
363,384.90964,18.017534,-26.036053,2009-04-21 11:13:26.999579
364,384.22336,19.594357,-26.332922,2009-04-21 11:13:31.458376
365,385.02896,21.171352,-26.651999,2009-04-21 11:13:35.917655
366,385.26837,22.750399,-26.991009,2009-04-21 11:13:40.376372
367,383.53305,22.474522,-28.38201,2009-04-21 11:13:44.836778
368,384.28146,20.858624,-28.018496,2009-04-21 11:13:49.295454
369,383.43994,19.261524,-27.68284,2009-04-21 11:13:53.755861
370,386.38586,17.664396,-27.375969,2009-04-21 11:13:58.214577
371,386.69806,16.063387,-27.091892,2009-04-21 11:14:02.673937
372,386.22714,17.305128,-28.731968,2009-04-21 11:14:11.593060
373,385.2002,18.923061,-29.031824,2009-04-21 11:14:16.051777
374,384.2097,20.54149,-29.354153,2009-04-21 11:14:20.512183
375,384.8937,22.163237,-29.69367,2009-04-21 11:14:24.971382
376,384.13184,21.880821,-31.084713,2009-04-21 11:14:29.431266
377,395.51938,21.998055,68.19885,2009-04-21 12:25:37.013871
378,376.69547,18.782183,64.30485,2009-04-21 12:26:52.824484
379,363.78818,15.520599,64.64613,2009-04-21 12:26:57.283160
380,386.80286,17.726234,52.948353,2009-04-21 12:29:42.280777
381,389.1185,15.435112,53.38587,2009-04-21 12:29:46.739976
382,389.012,13.083495,53.73585,2009-04-21 12:29:51.199859
383,390.04184,10.675259,53.993935,2009-04-21 12:29:55.659059
384,387.38232,10.241365,52.649097,2009-04-21 12:30:00.118942
385,388.0836,12.545464,52.404106,2009-04-21 12:30:04.577136
386,389.8568,14.8246155,52.05971,2009-04-21 12:30:09.037019
387,386.88635,17.04715,51.629677,2009-04-21 12:30:13.496178
388,389.0436,19.2047,51.118847,2009-04-21 12:30:17.955578
389,389.0974,16.413757,50.317265,2009-04-21 12:30:26.874661
390,388.29315,14.244402,50.733074,2009-04-21 12:30:31.333377
391,388.72433,12.026165,51.070404,2009-04-21 12:30:35.793784
392,389.78262,9.762713,51.330524,2009-04-21 12:30:40.252460
